Package                                                                        Current                               Wanted         Latest  Location                                                                                      Depended by
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/dissolve
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/distance-weight
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/difference
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/distance
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/envelope
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/ellipse
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/explode
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/flatten
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/flip
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/great-circle
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/hex-grid
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/intersect
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/interpolate
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/invariant
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/isobands
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/kinks
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/isolines
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-arc
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-intersect
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/length
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-chunk
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-overlap
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-offset
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-slice-along
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-split
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-segment
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-slice
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/meta
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/mask
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/midpoint
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/line-to-polygon
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/moran-index
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/nearest-point
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/point-grid
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/planepoint
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/nearest-point-to-line
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/nearest-point-on-line
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/point-to-line-distance
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/point-on-feature
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/polygon-smooth
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/points-within-polygon
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/polygon-tangents
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/polygon-to-line
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/polygonize
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/rectangle-grid
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/random
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/projection
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/rhumb-bearing
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/rewind
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/rhumb-distance
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/rhumb-destination
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/sample
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/shortest-path
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/sector
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/square
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/square-grid
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/tag
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/simplify
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/standard-deviational-ellipse
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/tesselate
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/tin
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/transform-rotate
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/transform-translate
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/transform-scale
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/triangle-grid
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/truncate
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/turf
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/unkink-polygon
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/union
@turf/helpers                                                                    6.5.0                                6.5.0          7.1.0  node_modules/@turf/helpers                                                                    @turf/voronoi
@turf/hex-grid                                                                   6.5.0                                6.5.0          7.1.0  node_modules/@turf/hex-grid                                                                   @turf/interpolate
@turf/hex-grid                                                                   6.5.0                                6.5.0          7.1.0  node_modules/@turf/hex-grid                                                                   @turf/turf
@turf/interpolate                                                                6.5.0                                6.5.0          7.1.0  node_modules/@turf/interpolate                                                                @turf/turf
@turf/intersect                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/intersect                                                                  @turf/hex-grid
@turf/intersect                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/intersect                                                                  @turf/triangle-grid
@turf/intersect                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/intersect                                                                  @turf/turf
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/angle
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/along
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/bbox-clip
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/bezier-spline
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/bearing
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-clockwise
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-crosses
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-contains
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-equal
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-overlap
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-point-on-line
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-point-in-polygon
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/boolean-within
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/clean-coords
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/center-of-mass
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/clusters-kmeans
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/concave
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/destination
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/dissolve
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/distance-weight
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/distance
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/difference
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/ellipse
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/great-circle
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/hex-grid
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/intersect
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/interpolate
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/isobands
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/isolines
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-intersect
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-offset
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-overlap
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-split
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-slice
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-segment
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/line-to-polygon
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/planepoint
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/point-grid
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/nearest-point-to-line
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/nearest-point-on-line
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/point-to-line-distance
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/polygon-tangents
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/polygon-to-line
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/polygonize
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/rhumb-bearing
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/rewind
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/rhumb-distance
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/rhumb-destination
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/sector
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/shortest-path
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/standard-deviational-ellipse
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/transform-rotate
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/transform-scale
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/transform-translate
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/turf
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/union
@turf/invariant                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/invariant                                                                  @turf/voronoi
@turf/isobands                                                                   6.5.0                                6.5.0          7.1.0  node_modules/@turf/isobands                                                                   @turf/turf
@turf/isolines                                                                   6.5.0                                6.5.0          7.1.0  node_modules/@turf/isolines                                                                   @turf/turf
@turf/kinks                                                                      6.5.0                                6.5.0          7.1.0  node_modules/@turf/kinks                                                                      @turf/turf
@turf/length                                                                     6.5.0                                6.5.0          7.1.0  node_modules/@turf/length                                                                     @turf/line-chunk
@turf/length                                                                     6.5.0                                6.5.0          7.1.0  node_modules/@turf/length                                                                     @turf/turf
@turf/line-arc                                                                   6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-arc                                                                   @turf/sector
@turf/line-arc                                                                   6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-arc                                                                   @turf/turf
@turf/line-chunk                                                                 6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-chunk                                                                 @turf/turf
@turf/line-intersect                                                             6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-intersect                                                             @turf/boolean-crosses
@turf/line-intersect                                                             6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-intersect                                                             @turf/boolean-disjoint
@turf/line-intersect                                                             6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-intersect                                                             @turf/boolean-overlap
@turf/line-intersect                                                             6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-intersect                                                             @turf/line-split
@turf/line-intersect                                                             6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-intersect                                                             @turf/nearest-point-on-line
@turf/line-intersect                                                             6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-intersect                                                             @turf/turf
@turf/line-offset                                                                6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-offset                                                                @turf/turf
@turf/line-overlap                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-overlap                                                               @turf/boolean-overlap
@turf/line-overlap                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-overlap                                                               @turf/turf
@turf/line-segment                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-segment                                                               @turf/boolean-parallel
@turf/line-segment                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-segment                                                               @turf/line-intersect
@turf/line-segment                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-segment                                                               @turf/line-overlap
@turf/line-segment                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-segment                                                               @turf/line-split
@turf/line-segment                                                               6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-segment                                                               @turf/turf
@turf/line-slice                                                                 6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-slice                                                                 @turf/turf
@turf/line-slice-along                                                           6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-slice-along                                                           @turf/line-chunk
@turf/line-slice-along                                                           6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-slice-along                                                           @turf/turf
@turf/line-split                                                                 6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-split                                                                 @turf/turf
@turf/line-to-polygon                                                            6.5.0                                6.5.0          7.1.0  node_modules/@turf/line-to-polygon                                                            @turf/turf
@turf/mask                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/mask                                                                       @turf/turf
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       geojson-rbush
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/bbox
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/area
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/boolean-disjoint
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/boolean-intersects
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/boolean-overlap
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/center-mean
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/buffer
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/center-of-mass
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/centroid
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/center-median
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/clusters
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/clusters-dbscan
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/clusters-kmeans
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/combine
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/convex
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/concave
@turf/meta                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/meta                                                                       @turf/dissolve
