Package                                                                        Current                               Wanted         Latest  Location                                                                                      Depended by
@npmcli/installed-package-contents                                               1.0.7                                1.0.7          2.1.0  node_modules/@npmcli/installed-package-contents                                               @npmcli/arborist
@npmcli/installed-package-contents                                               2.0.2                                2.1.0          2.1.0  node_modules/npm/node_modules/@npmcli/installed-package-contents                              libnpmdiff
@npmcli/installed-package-contents                                               2.0.2                                2.1.0          2.1.0  node_modules/npm/node_modules/@npmcli/installed-package-contents                              pacote
@npmcli/installed-package-contents                                               2.0.2                                2.1.0          2.1.0  node_modules/npm/node_modules/@npmcli/installed-package-contents                              @npmcli/arborist
@npmcli/map-workspaces                                                           3.0.4                                3.0.6          3.0.6  node_modules/npm/node_modules/@npmcli/map-workspaces                                          npm
@npmcli/map-workspaces                                                           2.0.4                                2.0.4          3.0.6  node_modules/@npmcli/map-workspaces                                                           @npmcli/arborist
@npmcli/map-workspaces                                                           3.0.4                                3.0.6          3.0.6  node_modules/npm/node_modules/@npmcli/map-workspaces                                          @npmcli/config
@npmcli/map-workspaces                                                           3.0.4                                3.0.6          3.0.6  node_modules/npm/node_modules/@npmcli/map-workspaces                                          @npmcli/arborist
@npmcli/metavuln-calculator                                                      2.0.0                                2.0.0          7.1.1  node_modules/@npmcli/metavuln-calculator                                                      @npmcli/arborist
@npmcli/metavuln-calculator                                                      5.0.1                                5.0.1          7.1.1  node_modules/npm/node_modules/@npmcli/metavuln-calculator                                     @npmcli/arborist
@npmcli/move-file                                                                1.1.2                                1.1.2          3.0.0  node_modules/@npmcli/move-file                                                                cacache
@npmcli/move-file                                                                1.1.2                                1.1.2          3.0.0  node_modules/@npmcli/move-file                                                                @npmcli/arborist
@npmcli/move-file                                                                2.0.1                                2.0.1          3.0.0  node_modules/npm-registry-fetch/node_modules/@npmcli/move-file                                cacache
@npmcli/move-file                                                                2.0.1                                2.0.1          3.0.0  node_modules/yeoman-generator/node_modules/@npmcli/move-file                                  cacache
@npmcli/move-file                                                                2.0.1                                2.0.1          3.0.0  node_modules/npm/node_modules/@npmcli/move-file                                               cacache
@npmcli/name-from-folder                                                         1.0.1                                1.0.1          2.0.0  node_modules/@npmcli/name-from-folder                                                         @npmcli/arborist
@npmcli/name-from-folder                                                         1.0.1                                1.0.1          2.0.0  node_modules/@npmcli/name-from-folder                                                         @npmcli/map-workspaces
@npmcli/node-gyp                                                                 1.0.3                                1.0.3          3.0.0  node_modules/@npmcli/node-gyp                                                                 @npmcli/arborist
@npmcli/node-gyp                                                                 1.0.3                                1.0.3          3.0.0  node_modules/@npmcli/node-gyp                                                                 @npmcli/run-script
@npmcli/package-json                                                             4.0.1                                4.0.1          5.2.0  node_modules/npm/node_modules/@npmcli/package-json                                            npm
@npmcli/package-json                                                             1.0.1                                1.0.1          5.2.0  node_modules/@npmcli/package-json                                                             @npmcli/arborist
@npmcli/package-json                                                             4.0.1                                4.0.1          5.2.0  node_modules/npm/node_modules/@npmcli/package-json                                            @npmcli/arborist
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/npm/node_modules/@npmcli/promise-spawn                                           npm
@npmcli/promise-spawn                                                            1.3.2                                1.3.2          8.0.0  node_modules/@npmcli/promise-spawn                                                            pacote
@npmcli/promise-spawn                                                            1.3.2                                1.3.2          8.0.0  node_modules/@npmcli/promise-spawn                                                            @npmcli/git
@npmcli/promise-spawn                                                            1.3.2                                1.3.2          8.0.0  node_modules/@npmcli/promise-spawn                                                            @npmcli/run-script
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/yeoman-generator/node_modules/@npmcli/promise-spawn                              pacote
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/yeoman-generator/node_modules/@npmcli/promise-spawn                              @npmcli/git
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/yeoman-generator/node_modules/@npmcli/promise-spawn                              @npmcli/run-script
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/npm/node_modules/@npmcli/promise-spawn                                           pacote
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/npm/node_modules/@npmcli/promise-spawn                                           @npmcli/git
@npmcli/promise-spawn                                                            6.0.2                                6.0.2          8.0.0  node_modules/npm/node_modules/@npmcli/promise-spawn                                           @npmcli/run-script
@npmcli/query                                                                    3.1.0                                3.1.0          4.0.0  node_modules/npm/node_modules/@npmcli/query                                                   @npmcli/arborist
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/npm/node_modules/@npmcli/run-script                                              npm
@npmcli/run-script                                                               2.0.0                                2.0.0          8.1.0  node_modules/@npmcli/run-script                                                               pacote
@npmcli/run-script                                                               2.0.0                                2.0.0          8.1.0  node_modules/@npmcli/run-script                                                               @npmcli/arborist
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/yeoman-generator/node_modules/@npmcli/run-script                                 pacote
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/npm/node_modules/@npmcli/run-script                                              libnpmexec
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/npm/node_modules/@npmcli/run-script                                              libnpmpack
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/npm/node_modules/@npmcli/run-script                                              libnpmversion
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/npm/node_modules/@npmcli/run-script                                              pacote
@npmcli/run-script                                                               6.0.2                                6.0.2          8.1.0  node_modules/npm/node_modules/@npmcli/run-script                                              @npmcli/arborist
@octokit/auth-token                                                              2.5.0                                2.5.0          5.1.1  node_modules/@octokit/auth-token                                                              @octokit/core
@octokit/core                                                                    3.6.0                                6.1.2          6.1.2  node_modules/@octokit/core                                                                    @octokit/plugin-paginate-rest
@octokit/core                                                                    3.6.0                                6.1.2          6.1.2  node_modules/@octokit/core                                                                    @octokit/plugin-rest-endpoint-methods
@octokit/core                                                                    3.6.0                                3.6.0          6.1.2  node_modules/@octokit/core                                                                    @octokit/rest
@octokit/core                                                                    3.6.0                                6.1.2          6.1.2  node_modules/@octokit/core                                                                    @octokit/plugin-request-log
@octokit/endpoint                                                               6.0.12                               6.0.12         10.1.1  node_modules/@octokit/endpoint                                                                @octokit/request
@octokit/graphql                                                                 4.8.0                                4.8.0          8.1.1  node_modules/@octokit/graphql                                                                 @octokit/core
@octokit/openapi-types                                                         12.11.0                              12.11.0         22.2.0  node_modules/@octokit/openapi-types                                                           @octokit/types
@octokit/plugin-paginate-rest                                                   2.21.3                               2.21.3         11.3.3  node_modules/@octokit/plugin-paginate-rest                                                    @octokit/rest
@octokit/plugin-request-log                                                      1.0.4                                1.0.4          5.3.1  node_modules/@octokit/plugin-request-log                                                      @octokit/rest
@octokit/plugin-rest-endpoint-methods                                           5.16.2                               5.16.2         13.2.4  node_modules/@octokit/plugin-rest-endpoint-methods                                            @octokit/rest
@octokit/request                                                                 5.6.3                                5.6.3          9.1.3  node_modules/@octokit/request                                                                 @octokit/core
@octokit/request                                                                 5.6.3                                5.6.3          9.1.3  node_modules/@octokit/request                                                                 @octokit/graphql
@octokit/request-error                                                           2.1.0                                2.1.0          6.1.4  node_modules/@octokit/request-error                                                           @octokit/core
@octokit/request-error                                                           2.1.0                                2.1.0          6.1.4  node_modules/@octokit/request-error                                                           @octokit/request
@octokit/rest                                                                  18.12.0                              18.12.0         21.0.2  node_modules/@octokit/rest                                                                    github-username
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/auth-token
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/core
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/endpoint
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/graphql
@octokit/types                                                                  6.41.0                               6.41.0         13.5.0  node_modules/@octokit/types                                                                   @octokit/request
